0,30,Single,0.0,1.25,w,1,g,202,0.0,Yes
3,27,Single,154.0,3.75,w,5,g,100,3.0,Yes
4,20,Single,562.5,1.71,w,0,s,120,0.0,Yes
5,32,Single,400.0,2.5,m,0,g,360,0.0,Yes
6,33,Single,104.0,6.5,r,0,g,164,31285.0,Yes
8,54,Married,50.0,3.96,k,0,g,180,314.0,Yes
9,42,Married,491.5,3.165,w,0,g,52,1442.0,Yes
10,22,Single,83.0,2.165,c,0,g,128,0.0,Yes
11,29,Single,183.5,4.335,c,0,g,260,200.0,Yes
12,36,Married,441.5,0.25,k,10,g,320,0.0,Yes
13,28,Single,87.5,0.96,m,3,g,396,0.0,Yes
16,25,Single,1125.0,2.5,c,17,g,200,1208.0,Yes
17,23,Single,100.0,0.835,c,0,s,300,0.0,Yes
21,42,Single,104.0,5,w,6,g,500,10000.0,Yes
22,29,Single,1479.0,5.04,aa,5,g,168,0.0,Yes
23,27,Single,150.0,2,w,11,g,434,35.0,Yes
24,27,Single,158.5,1.835,cc,12,g,583,713.0,Yes
26,27,Married,58.5,0.25,cc,2,g,260,500.0,Yes
27,54,Single,941.4999999999999,14.415,ff,11,g,30,300.0,Yes
28,29,Single,141.5,0.75,w,1,g,240,100.0,Yes
29,39,Single,1391.5,8.625,w,6,g,70,0.0,Yes
31,31,Single,446.0,6.04,cc,3,g,311,300.0,Yes
32,41,Single,154.0,3.5,i,0,g,216,0.0,Yes
33,23,Single,66.5,0.165,c,0,g,100,0.0,Yes
35,26,Single,100.0,1.75,q,0,g,280,0.0,Yes
36,37,Single,204.0,0.04,w,0,g,400,5800.0,Yes
37,34,Single,250.0,0,w,0,g,239,200.0,Yes
38,23,Married,1162.5,0.835,w,0,g,160,300.0,Yes
39,44,Single,50.0,5,i,0,g,320,0.0,Yes
40,35,Single,450.0,5.75,x,0,s,711,0.0,Yes
41,43,Single,300.0,6,q,11,g,80,0.0,Yes
42,56,Single,1225.0,1.25,m,4,g,200,0.0,Yes
43,31,Single,1616.5,3,d,9,g,250,730.0,Yes
45,26,Single,425.0,4.29,cc,1,g,120,0.0,Yes
